RANK,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SoS,rSoS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK,RANK_2,TEAM_2,CONF_2,DIVISION_2,GP_2,PPG_2,oPPG_2,pDIFF_2,PACE_2,oEFF_2,dEFF_2,eDIFF_2,SoS_2,rSoS_2,SAR_2,CONS_2,A4F_2,W_2,L_2,WIN%_2,eWIN%_2,pWIN%_2,ACH_2,STRK_2
,Minnesota,West,Northwest,67,112.9,109.0,3.9,97.3,115.4,111.5,3.9,0.54,-2.91,4.44,12.7,0.193,38,29,0.567,0.621,0.628,-0.054,6,,Minnesota,West,Northwest,5,122.6,109.0,13.6,95.6,128.2,114.0,14.2,-1.16,-8.16,13.04,7.2,0.075,5,0,1.0,0.976,0.948,0.024,5
,New Orleans,West,Southwest,66,111.0,119.1,-8.1,99.3,111.3,119.3,-8.0,1.86,0.68,-6.14,13.3,0.263,18,48,0.273,0.274,0.233,-0.001,1,,New Orleans,West,Southwest,5,112.0,123.6,-11.6,97.5,114.8,126.5,-11.7,2.65,1.34,-9.05,14.3,-0.047,1,4,0.2,0.206,0.118,-0.006,1
,New York,East,Atlantic,65,117.1,112.7,4.4,97.2,119.2,114.7,4.5,-1.12,-0.46,3.38,16.7,0.245,42,23,0.646,0.606,0.645,0.04,2,,New York,East,Atlantic,5,110.6,109.8,0.8,96.2,110.4,109.7,0.7,3.09,-3.46,3.79,16.7,-0.003,2,3,0.4,0.517,0.526,-0.117,2
,Oklahoma City,West,Northwest,66,119.7,107.2,12.5,99.8,119.7,107.2,12.5,-0.54,-0.37,11.96,12.5,0.255,54,12,0.818,0.841,0.912,-0.023,1,,Oklahoma City,West,Northwest,5,119.8,109.4,10.4,98.8,121.4,110.9,10.4,3.29,-0.46,13.69,14.7,0.04,4,1,0.8,0.76,0.842,0.04,1
,Orlando,East,Southeast,66,104.3,106.1,-1.8,96.3,108.0,109.8,-1.8,-0.5,-0.53,-2.3,15.3,0.375,30,36,0.455,0.453,0.441,0.002,-1,,Orlando,East,Southeast,5,106.6,109.8,-3.2,95.7,111.2,114.6,-3.4,-1.13,1.16,-4.53,6.3,-0.032,1,4,0.2,0.294,0.395,-0.094,-1
,Philadelphia,East,Atlantic,65,109.4,114.4,-5.0,97.0,112.1,117.2,-5.1,-0.06,-0.76,-5.16,13.2,0.23,22,43,0.338,0.349,0.335,-0.011,-2,,Philadelphia,East,Atlantic,5,114.2,124.2,-10.0,101.2,113.2,123.5,-10.3,0.35,4.42,-9.95,8.7,-0.049,1,4,0.2,0.119,0.171,0.081,-2
,Phoenix,West,Pacific,66,114.3,116.4,-2.1,97.4,116.3,118.4,-2.1,-0.42,3.26,-2.52,12.5,0.278,30,36,0.455,0.433,0.431,0.022,-2,,Phoenix,West,Pacific,5,121.4,122.6,-1.2,95.4,124.4,125.6,-1.1,4.33,1.2,3.23,7.1,0.02,2,3,0.4,0.439,0.46,-0.039,-2
,Portland,West,Northwest,67,110.6,114.6,-4.0,98.7,111.5,115.5,-4.0,1.59,-0.41,-2.41,17.7,0.237,28,39,0.418,0.411,0.368,0.007,-5,,Portland,West,Northwest,5,110.4,119.6,-9.2,98.1,110.6,119.9,-9.3,5.92,-0.98,-3.38,6.2,-0.046,0,5,0.0,0.066,0.197,-0.066,-5
,Sacramento,West,Pacific,64,116.6,115.2,1.4,98.8,116.6,115.1,1.5,-0.61,1.29,0.89,16.1,0.213,33,31,0.516,0.537,0.546,-0.021,-2,,Sacramento,West,Pacific,5,114.6,113.4,1.2,94.2,119.7,117.8,1.9,3.42,2.52,5.32,21.9,-0.02,2,3,0.4,0.535,0.54,-0.135,-2
,San Antonio,West,Southwest,64,113.8,116.1,-2.3,99.3,114.2,116.5,-2.3,-0.48,0.64,-2.78,15.1,0.216,27,37,0.422,0.439,0.424,-0.017,1,,San Antonio,West,Southwest,5,123.0,126.0,-3.0,97.6,125.9,129.3,-3.3,-0.54,-4.38,-3.84,15.4,-0.007,2,3,0.4,0.415,0.401,-0.015,1
,Toronto,East,Atlantic,66,110.8,115.7,-4.9,99.2,110.9,115.7,-4.8,0.95,-4.38,-3.85,15.1,0.294,23,43,0.348,0.375,0.339,-0.027,2,,Toronto,East,Atlantic,5,117.2,109.8,7.4,100.6,116.5,109.3,7.2,-7.2,-2.18,0.0,7.0,-0.004,4,1,0.8,0.848,0.744,-0.048,2
,Utah,West,Northwest,66,112.5,119.8,-7.3,99.7,112.2,119.4,-7.2,1.47,1.64,-5.73,14.7,0.287,15,51,0.227,0.312,0.26,-0.085,-7,,Utah,West,Northwest,5,115.2,121.0,-5.8,103.5,111.3,117.0,-5.6,-0.64,-1.6,-6.24,2.4,0.002,0,5,0.0,0.01,0.309,-0.01,-5
,Washington,East,Southeast,64,108.3,120.6,-12.3,101.3,106.6,118.7,-12.1,2.23,-1.32,-9.87,13.2,0.231,13,51,0.203,0.179,0.095,0.024,-2,,Washington,East,Southeast,5,108.0,117.4,-9.4,99.9,108.0,117.5,-9.5,-2.26,-1.46,-11.76,10.6,-0.03,2,3,0.4,0.185,0.19,0.215,-2
