#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
34,Peyton Watson,DEN,10,20.0,5.1,2.0,4.5,0.444,0.8,1.7,0.471,0.3,0.8,0.375,0.5,2.3,2.8,1.4,0.5,1.2,0.7,1.7
35,Zeke Nnaji,DEN,10,15.3,4.6,1.6,2.6,0.615,0.6,0.9,0.667,0.8,1.4,0.571,1.0,1.0,2.0,0.5,0.5,1.2,0.4,1.9
36,Shai Gilgeous-Alexander,OKC,10,36.1,35.6,11.9,21.8,0.546,2.8,6.4,0.438,9.0,9.9,0.909,1.1,4.3,5.4,6.8,1.3,1.1,2.8,2.5
37,LeBron James,LAL,10,36.6,28.3,10.7,20.5,0.522,2.5,7.3,0.342,4.4,5.4,0.815,1.7,8.8,10.5,6.4,1.0,1.1,4.2,1.6
38,Kevin Durant,PHX,10,39.4,25.0,8.9,17.9,0.497,2.9,6.8,0.426,4.3,5.1,0.843,0.4,6.2,6.6,4.5,1.0,1.1,3.3,1.7
39,Andrew Wiggins,MIA,10,34.6,19.5,6.5,15.1,0.43,1.8,6.0,0.3,4.7,6.3,0.746,1.5,2.9,4.4,3.0,0.7,1.1,2.5,1.7
40,Day'Ron Sharpe,BRK,10,18.8,7.6,3.0,5.3,0.566,0.3,0.7,0.429,1.3,1.7,0.765,2.8,3.8,6.6,1.9,1.2,1.1,1.2,3.1
41,Grant Williams,CHA,10,31.9,11.4,3.8,8.5,0.447,1.5,4.6,0.326,2.3,2.7,0.852,1.1,4.9,6.0,1.9,1.2,1.1,1.9,2.4
42,Bismack Biyombo,SAS,10,20.0,6.7,3.1,4.6,0.674,0.0,0.0,0.0,0.5,1.3,0.385,2.1,4.4,6.5,1.0,0.7,1.1,0.9,2.2
43,Luke Kornet,BOS,10,20.8,5.5,2.3,3.2,0.719,0.0,0.0,0.0,0.9,1.6,0.563,2.9,2.0,4.9,1.9,0.4,1.1,0.5,1.8
44,Keon Ellis,SAC,10,26.4,7.6,2.8,6.9,0.406,1.3,4.0,0.325,0.7,0.7,1.0,0.8,1.8,2.6,1.4,1.7,1.1,0.4,2.8
45,Josh Giddey,CHI,10,34.6,22.5,7.5,14.4,0.521,2.4,4.4,0.545,5.1,6.0,0.85,2.1,7.9,10.0,7.9,1.0,1.0,3.0,2.3
46,Joel Embiid,PHL,10,32.2,26.0,7.9,17.3,0.457,1.2,3.9,0.308,9.0,10.7,0.841,2.3,6.9,9.2,5.0,0.8,1.0,3.4,2.0
47,Alperen Sengun,HOU,10,33.6,21.4,8.0,14.2,0.563,0.3,0.7,0.429,5.1,7.4,0.689,3.5,6.0,9.5,5.2,0.7,1.0,4.1,3.3
48,Derrick White,BOS,10,35.3,19.5,6.5,13.9,0.468,4.6,10.3,0.447,1.9,2.1,0.905,0.7,3.6,4.3,5.2,1.5,1.0,1.4,2.0
49,Onyeka Okongwu,ATL,10,31.1,14.9,6.1,10.7,0.57,0.8,1.8,0.444,1.9,2.6,0.731,4.2,6.2,10.4,2.6,0.9,1.0,1.2,2.6
50,Deandre Ayton,POR,10,31.8,17.1,7.5,13.1,0.573,0.0,0.4,0.0,2.1,2.9,0.724,4.0,6.8,10.8,2.1,0.8,1.0,1.6,2.4
51,Jarrett Allen,CLE,10,27.7,13.0,5.2,7.7,0.675,0.0,0.0,0.0,2.6,3.2,0.813,2.5,6.4,8.9,1.5,1.3,1.0,1.1,1.4
52,Scottie Barnes,TOR,10,32.0,17.5,6.5,15.3,0.425,0.7,3.1,0.226,3.8,4.7,0.809,2.5,5.5,8.0,4.7,1.5,1.0,2.4,1.3
53,John Collins,UTA,10,32.5,21.7,8.1,16.0,0.506,1.4,5.1,0.275,4.1,5.1,0.804,2.2,5.9,8.1,1.0,0.8,1.0,2.3,2.6
54,Al Horford,BOS,10,31.6,11.4,4.1,8.9,0.461,2.3,5.5,0.418,0.9,1.0,0.9,1.6,6.4,8.0,2.3,0.9,1.0,0.8,1.3
55,Richaun Holmes,WAS,10,22.7,11.7,4.6,6.4,0.719,0.0,0.1,0.0,2.5,2.9,0.862,2.5,4.9,7.4,2.1,0.5,1.0,1.3,2.4
56,Jakob Poeltl,TOR,10,24.4,11.8,5.0,8.4,0.595,0.0,0.0,0.0,1.8,2.1,0.857,2.1,4.5,6.6,3.4,1.2,1.0,1.6,2.6
57,Trey Murphy III,NOP,10,35.6,19.3,7.0,16.2,0.432,2.5,8.5,0.294,2.8,3.3,0.848,1.1,3.8,4.9,3.6,0.9,1.0,2.8,1.8
58,Cole Anthony,ORL,10,26.4,12.7,4.5,10.6,0.425,1.8,3.8,0.474,1.9,2.0,0.95,1.2,3.4,4.6,3.6,0.8,1.0,1.7,3.0
59,Jalen Suggs,ORL,10,25.1,16.8,6.1,15.1,0.404,1.9,6.4,0.297,2.7,3.4,0.794,0.9,3.4,4.3,3.2,1.4,1.0,3.2,3.0
60,Mohamed Bamba,NOP,10,13.2,5.1,1.8,3.6,0.5,0.7,1.9,0.368,0.8,1.2,0.667,1.2,4.2,5.4,0.4,0.1,1.0,0.7,1.6
61,Alex Reese,PHL,6,11.2,3.5,1.3,2.8,0.471,0.3,1.7,0.2,0.5,0.8,0.6,1.0,2.2,3.2,0.2,0.8,1.0,0.5,1.2
62,Kyrie Irving,DAL,10,36.0,25.4,8.9,20.0,0.445,2.7,7.4,0.365,4.9,5.1,0.961,1.5,3.5,5.0,3.8,1.7,0.9,1.8,1.9
63,Jonas Valanciunas,SAC,10,22.6,11.3,4.7,8.3,0.566,0.1,0.5,0.2,1.8,2.3,0.783,2.8,6.9,9.7,3.0,1.1,0.9,1.0,2.7
64,Karlo Matkovic,NOP,10,22.5,10.2,4.1,6.9,0.594,0.8,2.2,0.364,1.2,1.8,0.667,1.8,4.2,6.0,1.3,0.3,0.9,0.7,2.6
65,Caleb Martin,DAL,10,26.6,6.7,2.7,6.0,0.45,0.6,2.0,0.3,0.7,1.4,0.5,1.0,2.7,3.7,2.6,1.3,0.9,0.8,1.9
66,Matas Buzelis,CHI,10,28.1,11.9,4.6,10.9,0.422,1.2,5.1,0.235,1.5,1.5,1.0,1.0,3.8,4.8,2.2,0.2,0.9,1.6,2.1
67,Quinten Post,GOS,10,19.7,9.7,3.6,8.4,0.429,2.0,4.5,0.444,0.5,0.8,0.625,1.1,3.9,5.0,1.4,0.9,0.9,1.3,2.8
