#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
138,Zach Collins,CHI,10,26.2,12.9,4.8,8.6,0.558,1.0,3.2,0.313,2.3,2.7,0.852,3.1,5.8,8.9,3.0,1.0,0.6,1.4,2.7
139,P.J. Washington,DAL,10,31.0,15.6,5.5,12.9,0.426,1.8,4.4,0.409,2.8,3.9,0.718,2.0,7.2,9.2,3.0,1.0,1.5,2.1,2.6
140,Naz Reid,MIN,10,34.6,16.0,5.8,15.4,0.377,2.8,8.2,0.341,1.6,2.1,0.762,1.6,7.1,8.7,3.0,0.7,1.2,2.0,2.9
141,Andrew Wiggins,MIA,10,34.6,19.5,6.5,15.1,0.43,1.8,6.0,0.3,4.7,6.3,0.746,1.5,2.9,4.4,3.0,0.7,1.1,2.5,1.7
142,Jusuf Nurkic,CHA,10,17.2,6.8,2.6,5.7,0.456,0.2,1.9,0.105,1.4,2.2,0.636,2.0,5.5,7.5,3.0,1.0,0.8,1.4,2.0
143,Cason Wallace,OKC,10,27.8,10.7,4.1,8.0,0.513,1.4,3.9,0.359,1.1,1.2,0.917,0.7,2.6,3.3,3.0,1.6,0.5,1.2,2.4
144,Tre Mann,CHA,10,23.3,12.8,5.1,11.5,0.443,1.6,4.0,0.4,1.0,1.2,0.833,0.6,1.8,2.4,3.0,0.5,0.3,1.8,1.7
145,Pascal Siakam,IND,10,31.6,21.6,8.3,16.2,0.512,1.9,5.1,0.373,3.1,4.9,0.633,1.6,5.6,7.2,2.9,0.7,0.4,1.8,2.2
146,Nikola Vucevic,CHI,10,30.9,15.0,6.0,12.9,0.465,1.4,3.8,0.368,1.6,2.0,0.8,2.1,8.0,10.1,2.9,0.6,0.4,2.3,2.3
147,OG Anunoby,NYK,10,38.9,18.0,6.2,15.0,0.413,2.8,7.7,0.364,2.8,3.5,0.8,1.6,3.6,5.2,2.9,1.4,0.8,1.6,2.1
148,Payton Pritchard,BOS,10,28.3,13.9,4.8,10.2,0.471,3.4,8.0,0.425,0.9,0.9,1.0,1.2,2.1,3.3,2.9,0.8,0.3,0.5,1.1
149,Kyle Lowry,PHL,10,16.0,3.6,1.0,2.8,0.357,0.7,2.0,0.35,0.9,1.0,0.9,0.4,1.9,2.3,2.9,0.9,0.2,0.3,1.8
150,De'Anthony Melton,GOS,6,20.2,10.3,3.7,9.0,0.407,2.2,5.8,0.371,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0
