#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
144,Kessler Edwards,DAL,5,29.7,13.4,5.2,8.6,0.605,1.6,2.6,0.615,1.4,1.6,0.875,1.0,3.4,4.4,2.2,1.2,0.6,0.8,2.8
145,Tari Eason,HOU,5,28.0,13.8,5.8,12.8,0.453,1.6,5.2,0.308,0.6,0.8,0.75,2.6,4.4,7.0,2.4,1.4,0.8,1.8,2.2
146,De'Andre Hunter,CLE,5,24.6,15.0,4.4,9.2,0.478,1.6,4.6,0.348,4.6,5.2,0.885,1.2,4.0,5.2,1.6,0.2,0.4,0.6,2.2
147,Rui Hachimura,LAL,5,33.4,12.8,5.0,10.6,0.472,1.6,6.0,0.267,1.2,2.0,0.6,1.6,4.2,5.8,2.0,0.4,0.6,0.6,1.2
148,Killian Hayes,BRK,5,28.2,9.8,3.2,7.4,0.432,1.6,3.6,0.444,1.8,2.0,0.9,1.0,2.4,3.4,5.6,0.8,0.6,1.8,2.0
149,Spencer Dinwiddie,DAL,5,32.6,12.8,4.2,10.2,0.412,1.6,4.8,0.333,2.8,3.8,0.737,0.4,2.8,3.2,4.4,1.2,0.4,1.4,1.4
150,Dennis Schroder,DET,5,23.3,12.4,4.6,10.2,0.451,1.6,4.8,0.333,1.6,2.2,0.727,0.4,2.4,2.8,4.6,0.8,0.4,0.8,2.6
151,Jared Rhoden,TOR,5,29.1,13.4,4.4,10.2,0.431,1.6,5.2,0.308,3.0,3.6,0.833,1.8,3.4,5.2,1.2,1.2,0.4,1.2,2.4
152,Tim Hardaway Jr.,DET,5,28.8,10.0,3.4,8.8,0.386,1.6,6.0,0.267,1.6,2.0,0.8,0.8,4.0,4.8,1.8,1.6,0.0,0.6,1.0
153,Brandin Podziemski,GOS,5,24.3,10.2,3.8,10.4,0.365,1.6,5.2,0.308,1.0,1.2,0.833,1.4,3.8,5.2,3.0,0.6,0.6,1.0,1.4
154,Jake LaRavia,SAC,5,25.0,8.2,3.0,7.2,0.417,1.6,3.8,0.421,0.6,0.8,0.75,2.2,2.6,4.8,1.8,1.0,0.0,0.6,2.4
155,Derrick Jones,LAC,5,24.6,10.6,4.0,6.2,0.645,1.6,3.0,0.533,1.0,2.4,0.417,1.0,2.4,3.4,0.4,0.6,0.4,1.0,1.4
156,Marcus Smart,WAS,5,19.1,11.6,3.8,8.4,0.452,1.6,4.2,0.381,2.4,3.0,0.8,0.6,1.4,2.0,2.6,0.8,0.2,1.2,1.8
157,Jordan Goodwin,LAL,5,16.0,7.4,2.8,5.6,0.5,1.6,3.0,0.533,0.2,0.4,0.5,1.4,2.4,3.8,0.6,1.4,0.2,1.4,1.2
158,Quinten Post,GOS,5,19.7,7.2,2.8,7.6,0.368,1.6,3.8,0.421,0.0,0.4,0.0,1.0,3.4,4.4,1.4,0.6,1.4,1.0,3.0
159,DaQuan Jeffries,CHA,5,27.3,8.6,3.2,7.0,0.457,1.6,4.2,0.381,0.6,0.8,0.75,0.6,0.8,1.4,1.2,0.6,1.0,0.6,2.8
160,Jalen Wilson,BRK,5,17.7,8.4,2.2,4.8,0.458,1.6,3.6,0.444,2.4,2.6,0.923,0.2,1.2,1.4,0.8,0.6,0.0,0.6,1.6
161,Dante Exum,DAL,5,22.0,9.4,3.6,8.0,0.45,1.6,3.2,0.5,0.6,0.6,1.0,0.4,1.4,1.8,2.2,0.4,0.0,1.4,2.6
162,"Nick Smith, Jr.",CHA,5,25.8,10.0,3.8,9.6,0.396,1.6,5.4,0.296,0.8,0.8,1.0,0.4,2.0,2.4,2.0,0.0,0.0,1.2,1.4
163,Svi Mykhailiuk,UTA,5,19.5,7.4,2.8,8.6,0.326,1.6,5.0,0.32,0.2,0.2,1.0,0.6,1.4,2.0,2.8,0.2,0.0,1.2,0.8
164,Tre Mann,CHA,5,22.2,10.8,4.2,10.8,0.389,1.6,4.0,0.4,0.8,1.2,0.667,0.8,1.4,2.2,2.0,0.2,0.2,2.0,1.2
165,Josh Giddey,CHI,5,35.6,22.2,7.6,15.8,0.481,1.4,4.4,0.318,5.6,6.8,0.824,1.4,8.6,10.0,8.8,0.6,0.6,2.4,2.0
166,Bam Adebayo,MIA,5,38.5,22.8,8.0,15.8,0.506,1.4,3.8,0.368,5.4,6.2,0.871,1.8,8.6,10.4,5.2,2.2,0.0,1.6,1.8
167,Julius Randle,MIN,5,31.3,18.6,6.2,12.4,0.5,1.4,4.4,0.318,4.8,5.6,0.857,3.0,4.8,7.8,7.2,0.6,0.2,3.2,2.0
168,Zach Collins,CHI,5,24.8,12.8,5.0,8.2,0.61,1.4,3.2,0.438,1.4,1.6,0.875,2.2,6.4,8.6,2.6,0.8,0.6,1.6,2.8
