#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
144,Dorian Finney-Smith,LAL,10,32.1,6.6,2.5,6.7,0.373,1.5,4.7,0.319,0.1,0.2,0.5,2.2,2.5,4.7,0.9,1.1,0.2,1.0,1.5
145,Kevon Looney,GOS,10,13.6,4.2,1.7,3.5,0.486,0.0,0.1,0.0,0.8,1.2,0.667,1.7,3.0,4.7,1.1,0.6,0.7,0.6,2.2
146,Taj Gibson,CHA,10,12.8,3.6,1.6,3.3,0.485,0.0,0.0,0.0,0.4,0.6,0.667,2.0,2.7,4.7,0.7,0.2,0.7,1.0,1.9
147,Zach LaVine,SAC,10,37.4,25.4,9.6,17.1,0.561,3.8,7.5,0.507,2.4,2.7,0.889,0.3,4.3,4.6,3.8,1.0,0.1,3.0,0.9
148,Quentin Grimes,PHL,10,32.5,21.1,7.9,15.3,0.516,2.8,6.9,0.406,2.5,3.3,0.758,1.0,3.6,4.6,3.7,1.8,0.7,2.8,2.1
149,Aaron Gordon,DEN,10,27.2,14.4,5.3,10.5,0.505,2.0,3.9,0.513,1.8,2.3,0.783,1.5,3.1,4.6,4.1,0.5,0.3,0.7,1.4
150,"Jaren Jackson, Jr.",MEM,10,28.1,19.3,6.9,14.2,0.486,1.3,3.9,0.333,4.2,5.9,0.712,0.7,3.9,4.6,1.8,1.1,1.8,2.0,3.5
151,De'Andre Hunter,CLE,10,24.9,14.1,4.4,8.7,0.506,2.1,4.3,0.488,3.2,3.8,0.842,0.8,3.8,4.6,1.5,0.1,0.4,0.8,1.8
152,Cole Anthony,ORL,10,26.4,12.7,4.5,10.6,0.425,1.8,3.8,0.474,1.9,2.0,0.95,1.2,3.4,4.6,3.6,0.8,1.0,1.7,3.0
153,Bilal Coulibaly,WAS,10,31.1,11.0,4.2,9.9,0.424,0.9,3.3,0.273,1.7,2.6,0.654,1.9,2.7,4.6,3.1,1.2,0.5,2.3,2.2
154,Patrick Williams,CHI,10,23.3,8.5,3.1,7.9,0.392,1.2,3.8,0.316,1.1,1.9,0.579,1.3,3.3,4.6,1.5,0.6,0.5,1.4,1.2
155,Gradey Dick,TOR,10,27.2,9.1,3.0,8.3,0.361,1.7,4.6,0.37,1.4,2.1,0.667,1.0,3.6,4.6,1.2,1.1,0.2,1.3,1.7
156,Immanuel Quickley,TOR,10,30.9,20.0,6.5,15.1,0.43,3.0,7.8,0.385,4.0,5.0,0.8,0.4,4.1,4.5,5.1,0.6,0.1,1.5,2.3
157,Keyonte George,UTA,10,31.2,18.3,5.6,14.8,0.378,3.1,8.3,0.373,4.0,5.5,0.727,0.3,4.2,4.5,6.0,0.7,0.1,2.5,1.0
158,Dillon Brooks,HOU,10,31.9,15.4,5.8,12.9,0.45,2.9,7.1,0.408,0.9,1.4,0.643,0.9,3.6,4.5,2.3,0.9,0.1,0.9,2.6
159,Max Strus,CLE,10,25.6,10.1,3.3,7.8,0.423,2.6,6.5,0.4,0.9,0.9,1.0,1.5,3.0,4.5,3.2,0.6,0.1,1.1,2.1
160,Bol Bol,PHX,10,19.2,10.4,4.0,7.4,0.541,1.5,3.8,0.395,0.9,1.0,0.9,0.6,3.9,4.5,1.1,0.3,0.7,0.6,1.2
161,Georges Niang,ATL,10,26.3,13.5,4.8,11.0,0.436,2.8,7.1,0.394,1.1,1.4,0.786,0.6,3.9,4.5,2.0,0.2,0.3,0.8,2.7
162,Jabari Walker,POR,10,15.6,7.4,2.8,4.9,0.571,1.1,1.8,0.611,0.7,1.2,0.583,1.6,2.9,4.5,1.1,0.5,0.1,0.3,2.0
163,Micah Potter,UTA,10,17.1,5.4,1.9,3.9,0.487,1.0,2.6,0.385,0.6,0.7,0.857,1.1,3.4,4.5,0.8,0.5,0.2,1.0,1.4
164,Damian Lillard,MIL,10,34.9,23.2,7.2,16.1,0.447,3.2,9.0,0.356,5.6,6.1,0.918,0.3,4.1,4.4,5.6,1.4,0.0,2.5,1.5
165,Devin Booker,PHX,10,38.5,24.9,9.0,18.6,0.484,2.8,7.7,0.364,4.1,4.8,0.854,1.0,3.4,4.4,7.2,0.9,0.1,3.4,3.7
166,Donte DiVincenzo,MIN,10,28.3,15.6,5.3,11.6,0.457,4.1,8.7,0.471,0.9,1.4,0.643,0.9,3.5,4.4,4.4,1.3,0.4,0.9,2.3
167,Donovan Mitchell,CLE,10,30.9,25.2,7.8,18.1,0.431,2.6,7.9,0.329,7.0,8.9,0.787,1.2,3.2,4.4,4.5,0.7,0.2,2.5,1.7
168,Andrew Wiggins,MIA,10,34.6,19.5,6.5,15.1,0.43,1.8,6.0,0.3,4.7,6.3,0.746,1.5,2.9,4.4,3.0,0.7,1.1,2.5,1.7
169,Aaron Nesmith,IND,10,30.4,15.1,5.7,11.4,0.5,2.4,6.3,0.381,1.3,1.4,0.929,0.8,3.6,4.4,1.4,0.7,0.6,1.1,2.2
170,Keon Johnson,BRK,10,26.7,9.6,3.2,8.5,0.376,1.5,4.4,0.341,1.7,2.3,0.739,1.3,3.1,4.4,2.5,1.7,0.5,1.7,2.7
171,Adem Bona,PHL,10,15.5,6.3,2.6,3.9,0.667,0.0,0.0,0.0,1.1,1.5,0.733,1.9,2.5,4.4,0.5,0.5,1.3,0.8,1.8
172,Guerschon Yabusele,PHL,10,25.2,7.0,2.4,6.1,0.393,1.0,3.3,0.303,1.2,1.6,0.75,1.8,2.6,4.4,1.9,0.7,0.2,1.1,1.8
173,Ja'Kobe Walter,TOR,10,21.6,7.9,2.8,7.0,0.4,0.8,2.6,0.308,1.5,1.7,0.882,1.9,2.5,4.4,0.8,0.8,0.1,1.3,1.7
174,Colin Castleton,TOR,10,15.5,3.6,1.2,3.2,0.375,0.0,0.5,0.0,1.2,1.4,0.857,1.6,2.8,4.4,1.0,0.3,0.5,0.6,1.7
175,Derrick White,BOS,10,35.3,19.5,6.5,13.9,0.468,4.6,10.3,0.447,1.9,2.1,0.905,0.7,3.6,4.3,5.2,1.5,1.0,1.4,2.0
176,Cameron Johnson,BRK,10,31.1,18.2,5.8,13.5,0.43,2.3,6.6,0.348,4.3,5.1,0.843,1.3,3.0,4.3,3.6,1.5,0.2,1.7,2.6
177,Brandon Miller,CHA,10,34.0,20.4,7.0,17.3,0.405,3.6,10.8,0.333,2.8,3.4,0.824,0.8,3.5,4.3,3.8,0.6,0.7,2.9,2.9
178,Jalen Suggs,ORL,10,25.1,16.8,6.1,15.1,0.404,1.9,6.4,0.297,2.7,3.4,0.794,0.9,3.4,4.3,3.2,1.4,1.0,3.2,3.0
179,Zaccharie Risacher,ATL,10,27.1,12.5,4.7,9.6,0.49,2.2,5.0,0.44,0.9,1.3,0.692,0.8,3.5,4.3,1.3,0.7,0.7,2.1,1.5
180,Alec Burks,MIA,10,21.8,8.0,2.6,6.5,0.4,1.8,4.5,0.4,1.0,1.5,0.667,0.5,3.8,4.3,1.3,0.7,0.1,0.7,0.8
181,Coby White,CHI,10,34.6,23.4,8.4,17.8,0.472,2.8,8.6,0.326,3.8,4.1,0.927,0.2,4.0,4.2,4.2,1.4,0.2,1.9,2.0
182,De'Aaron Fox,SAS,10,33.2,17.4,6.6,16.3,0.405,1.4,6.0,0.233,2.8,3.2,0.875,0.6,3.6,4.2,6.5,1.0,0.3,2.6,2.2
183,"Kelly Oubre, Jr.",PHL,10,34.7,19.6,7.3,14.4,0.507,1.4,4.0,0.35,3.6,4.6,0.783,1.4,2.8,4.2,1.4,1.6,0.4,1.6,3.7
184,Stephon Castle,SAS,10,26.6,16.8,6.3,13.9,0.453,1.4,5.0,0.28,2.8,4.4,0.636,1.7,2.5,4.2,3.7,1.0,0.0,2.0,3.2
185,Kessler Edwards,DAL,10,21.5,8.8,3.6,6.4,0.563,0.9,1.9,0.474,0.7,0.8,0.875,1.0,3.2,4.2,1.7,0.7,0.4,0.6,2.3
186,Jrue Holiday,BOS,10,29.6,7.7,3.1,7.8,0.397,1.0,4.1,0.244,0.5,0.5,1.0,1.3,2.9,4.2,3.1,1.2,0.3,1.3,1.9
187,Trendon Watford,BRK,10,20.7,9.7,3.7,8.0,0.463,0.5,1.8,0.278,1.8,2.4,0.75,1.5,2.7,4.2,3.4,1.1,0.2,2.6,2.1
188,Tristan Vukcevic,WAS,10,13.3,8.5,3.0,6.0,0.5,1.0,3.0,0.333,1.5,1.8,0.833,0.8,3.4,4.2,0.9,0.5,0.7,1.1,1.8
189,Jonathan Isaac,ORL,10,14.1,4.7,1.6,3.3,0.485,0.8,2.0,0.4,0.7,0.8,0.875,1.2,3.0,4.2,0.4,0.8,0.5,0.5,1.2
190,Tidjane Salaun,CHA,10,19.2,5.1,1.6,5.0,0.32,0.9,2.8,0.321,1.0,1.4,0.714,1.4,2.8,4.2,1.0,0.3,0.3,1.1,0.8
191,Mitchell Robinson,NYK,6,14.8,4.3,1.8,2.7,0.688,0.0,0.0,0.0,0.7,0.8,0.8,2.3,1.8,4.2,0.5,1.2,0.5,0.8,2.0
192,Bogdan Bogdanovic,LAC,10,28.9,13.6,5.1,11.2,0.455,2.2,6.0,0.367,1.2,1.3,0.923,0.6,3.5,4.1,3.3,0.2,0.3,1.9,2.6
193,Bub Carrington,WAS,10,28.2,9.9,3.6,9.7,0.371,1.5,5.1,0.294,1.2,1.4,0.857,0.6,3.5,4.1,4.3,0.8,0.3,1.6,1.9
194,Luguentz Dort,OKC,10,30.3,10.0,3.7,9.4,0.394,2.6,7.0,0.371,0.0,0.4,0.0,1.2,2.9,4.1,1.6,1.3,0.3,0.6,2.3
195,Jaylin Williams,OKC,10,14.2,4.6,1.6,3.2,0.5,1.2,2.5,0.48,0.2,0.5,0.4,0.5,3.6,4.1,2.1,0.4,0.5,0.3,0.9
196,Jerami Grant,POR,10,34.1,13.5,4.2,12.6,0.333,2.3,7.3,0.315,2.8,3.3,0.848,0.7,3.4,4.1,1.9,1.4,0.7,1.6,2.3
197,Jordan Goodwin,LAL,10,17.5,7.2,2.9,5.4,0.537,1.2,2.5,0.48,0.2,0.3,0.667,1.5,2.6,4.1,0.8,1.2,0.2,1.0,1.5
198,Jaylen Wells,MEM,10,28.2,8.8,3.1,8.7,0.356,2.1,6.2,0.339,0.5,1.0,0.5,1.3,2.8,4.1,2.1,0.5,0.2,1.2,1.8
199,Dario Saric,DEN,10,15.9,4.7,1.7,4.4,0.386,0.7,2.3,0.304,0.6,0.8,0.75,1.0,3.1,4.1,2.1,0.6,0.1,1.2,1.5
200,Jordan Poole,WAS,10,30.3,22.1,7.5,16.8,0.446,3.2,9.5,0.337,3.9,4.1,0.951,0.5,3.5,4.0,3.8,1.3,0.3,2.5,3.1
