#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Trae Young,ATL,5,35.3,26.6,7.8,20.4,0.382,1.0,6.0,0.167,10.0,10.2,0.98,0.4,3.2,3.6,12.8,0.4,0.0,4.4,1.8
2,Tyrese Haliburton,IND,5,33.5,22.2,8.2,14.0,0.586,3.8,6.4,0.594,2.0,2.0,1.0,0.4,2.8,3.2,11.6,2.6,0.4,1.2,0.6
3,James Harden,LAC,5,39.3,31.0,8.6,19.6,0.439,4.2,11.0,0.382,9.6,11.8,0.814,0.8,4.8,5.6,10.2,1.0,0.6,4.6,1.4
4,Luka Doncic,LAL,5,38.5,29.4,9.2,21.4,0.43,4.6,11.4,0.404,6.4,8.8,0.727,0.6,7.6,8.2,10.2,2.0,0.2,5.2,2.0
5,Nikola Jokic,DEN,5,40.4,29.2,12.0,21.2,0.566,1.6,5.4,0.296,3.6,5.6,0.643,3.2,11.8,15.0,9.8,1.4,0.8,3.4,3.2
6,Josh Giddey,CHI,5,35.6,22.2,7.6,15.8,0.481,1.4,4.4,0.318,5.6,6.8,0.824,1.4,8.6,10.0,8.8,0.6,0.6,2.4,2.0
7,Cade Cunningham,DET,5,34.9,30.4,11.4,21.2,0.538,1.6,5.4,0.296,6.0,6.8,0.882,0.4,4.4,4.8,7.8,1.6,0.4,6.2,3.8
8,Ja Morant,MEM,5,33.8,28.8,9.8,20.8,0.471,2.2,7.0,0.314,7.0,8.6,0.814,0.6,2.6,3.2,7.8,1.4,0.0,3.2,2.8
9,Draymond Green,GOS,5,31.3,9.4,2.8,6.8,0.412,1.0,2.8,0.357,2.8,3.4,0.824,1.6,6.6,8.2,7.8,2.2,0.2,2.2,3.4
10,LaMelo Ball,CHA,5,32.0,21.2,6.8,20.8,0.327,3.2,10.8,0.296,4.4,5.0,0.88,1.6,4.0,5.6,7.8,1.0,0.4,3.6,4.2
11,Chris Paul,SAS,5,26.0,8.4,3.0,5.6,0.536,2.2,3.8,0.579,0.2,0.2,1.0,0.0,1.8,1.8,7.6,1.4,0.2,1.2,1.0
12,De'Aaron Fox,SAS,5,32.6,19.8,7.8,15.8,0.494,1.6,5.2,0.308,2.6,3.0,0.867,0.6,3.8,4.4,7.4,0.4,0.0,2.0,2.2
13,Jalen Brunson,NYK,5,38.7,30.4,10.6,21.8,0.486,2.0,7.2,0.278,7.2,8.2,0.878,0.4,3.8,4.2,7.2,1.4,0.2,3.0,2.0
14,Julius Randle,MIN,5,31.3,18.6,6.2,12.4,0.5,1.4,4.4,0.318,4.8,5.6,0.857,3.0,4.8,7.8,7.2,0.6,0.2,3.2,2.0
15,LeBron James,LAL,5,36.9,26.4,10.0,20.4,0.49,2.0,7.4,0.27,4.4,5.4,0.815,1.2,9.2,10.4,7.0,0.8,0.8,3.6,1.8
16,Shai Gilgeous-Alexander,OKC,5,36.1,38.2,13.2,24.2,0.545,3.0,7.8,0.385,8.8,9.0,0.978,1.2,3.4,4.6,6.8,1.0,1.2,3.0,2.8
