RANK,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SoS,rSoS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK,RANK_2,TEAM_2,CONF_2,DIVISION_2,GP_2,PPG_2,oPPG_2,pDIFF_2,PACE_2,oEFF_2,dEFF_2,eDIFF_2,SoS_2,rSoS_2,SAR_2,CONS_2,A4F_2,W_2,L_2,WIN%_2,eWIN%_2,pWIN%_2,ACH_2,STRK_2
,Milwaukee,East,Central,67,114.8,112.7,2.1,99.8,114.9,112.7,2.2,-0.21,-0.16,1.99,14.5,0.307,38,29,0.567,0.56,0.569,0.007,-1,,Milwaukee,East,Central,5,114.2,114.6,-0.4,99.1,115.1,115.7,-0.7,3.96,3.54,3.26,14.6,-0.005,2,3,0.4,0.481,0.487,-0.081,-1
,Minnesota,West,Northwest,69,113.1,108.9,4.2,97.5,115.6,111.3,4.3,0.35,-2.39,4.65,12.8,0.225,40,29,0.58,0.632,0.638,-0.052,8,,Minnesota,West,Northwest,5,121.6,107.2,14.4,97.8,124.3,109.7,14.6,-1.68,-5.74,12.92,9.7,0.063,5,0,1.0,0.934,0.974,0.066,5
,New Orleans,West,Southwest,68,110.8,119.0,-8.2,99.2,111.2,119.4,-8.2,1.73,1.29,-6.47,13.2,0.215,18,50,0.265,0.268,0.23,-0.003,-2,,New Orleans,West,Southwest,5,111.2,121.0,-9.8,96.7,114.8,125.0,-10.2,0.15,1.9,-10.05,14.8,-0.018,1,4,0.2,0.246,0.177,-0.046,-2
,New York,East,Atlantic,66,116.7,112.4,4.3,97.1,119.0,114.6,4.4,-1.06,-0.71,3.34,16.6,0.242,42,24,0.636,0.604,0.642,0.032,-1,,New York,East,Atlantic,5,109.0,106.4,2.6,95.0,110.0,107.5,2.5,3.12,-4.68,5.62,15.3,0.009,2,3,0.4,0.565,0.586,-0.165,-1
,Oklahoma City,West,Northwest,68,119.6,107.1,12.5,99.8,119.7,107.2,12.5,-0.43,-0.9,12.07,12.4,0.276,56,12,0.824,0.844,0.912,-0.02,3,,Oklahoma City,West,Northwest,5,121.2,113.4,7.8,98.3,123.4,115.4,8.0,4.04,-0.68,12.04,14.1,0.007,4,1,0.8,0.714,0.757,0.086,3
,Orlando,East,Southeast,69,104.6,106.0,-1.4,96.3,108.3,109.8,-1.5,-0.28,-2.07,-1.78,15.2,0.279,32,37,0.464,0.461,0.454,0.003,1,,Orlando,East,Southeast,5,105.4,104.0,1.4,94.8,111.3,109.6,1.7,5.23,-4.1,6.93,13.8,-0.016,3,2,0.6,0.549,0.546,0.051,1
,Philadelphia,East,Atlantic,67,109.6,114.6,-5.0,97.1,112.2,117.3,-5.1,-0.03,-1.03,-5.13,13.0,0.248,23,44,0.343,0.348,0.335,-0.005,1,,Philadelphia,East,Atlantic,5,116.8,121.8,-5.0,102.8,113.6,118.7,-5.1,-1.88,3.12,-6.98,8.7,-0.013,2,3,0.4,0.278,0.335,0.122,1
,Phoenix,West,Pacific,68,114.2,116.1,-1.9,97.3,116.3,118.3,-2.0,-0.33,3.35,-2.33,12.6,0.242,31,37,0.456,0.437,0.437,0.019,-1,,Phoenix,West,Pacific,5,113.0,112.0,1.0,95.2,118.6,117.6,1.1,4.47,1.44,5.57,11.9,0.03,2,3,0.4,0.537,0.533,-0.137,-1
,Portland,West,Northwest,68,110.6,114.4,-3.8,98.7,111.5,115.4,-3.9,1.46,0.07,-2.44,17.6,0.241,29,39,0.426,0.412,0.375,0.014,1,,Portland,West,Northwest,5,107.8,114.4,-6.6,98.4,107.5,114.0,-6.5,2.85,2.58,-3.65,8.2,-0.038,1,4,0.2,0.213,0.283,-0.013,1
,Sacramento,West,Pacific,66,116.3,115.5,0.8,98.7,116.4,115.6,0.8,-0.53,1.26,0.27,16.4,0.263,33,33,0.5,0.52,0.526,-0.02,-4,,Sacramento,West,Pacific,5,110.2,121.0,-10.8,94.3,114.8,125.8,-10.9,1.97,3.36,-8.93,20.2,-0.08,1,4,0.2,0.294,0.144,-0.094,-4
,San Antonio,West,Southwest,66,114.2,116.5,-2.3,99.4,114.6,116.9,-2.3,-0.83,2.46,-3.13,14.9,0.266,28,38,0.424,0.439,0.424,-0.015,1,,San Antonio,West,Southwest,5,126.4,130.0,-3.6,99.4,127.2,131.0,-3.8,-4.9,0.26,-8.7,11.1,-0.036,2,3,0.4,0.366,0.381,0.034,1
,Toronto,East,Atlantic,68,110.9,115.6,-4.7,99.3,110.9,115.5,-4.6,0.79,-4.2,-3.81,15.0,0.272,24,44,0.353,0.379,0.345,-0.026,-1,,Toronto,East,Atlantic,5,116.4,110.0,6.4,101.5,114.6,108.5,6.1,-7.74,-3.78,-1.64,8.0,0.004,3,2,0.6,0.777,0.711,-0.177,-1
,Utah,West,Northwest,68,112.5,120.0,-7.5,99.9,111.9,119.4,-7.5,1.4,2.16,-6.1,14.6,0.257,15,53,0.221,0.304,0.253,-0.083,-9,,Utah,West,Northwest,5,113.0,123.2,-10.2,104.6,108.1,117.9,-9.8,2.17,1.56,-7.63,8.7,-0.022,0,5,0.0,0.131,0.164,-0.131,-5
,Washington,East,Southeast,66,108.9,120.7,-11.8,101.4,107.1,118.6,-11.5,2.27,-1.91,-9.23,13.2,0.214,15,51,0.227,0.193,0.111,0.034,2,,Washington,East,Southeast,5,116.0,121.4,-5.4,101.7,114.0,119.4,-5.4,0.28,-2.8,-5.12,11.1,0.004,3,2,0.6,0.314,0.322,0.286,2
