#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Dyson Daniels,ATL,10,33.4,13.6,6.0,11.8,0.508,0.7,1.9,0.368,0.9,1.7,0.529,1.1,4.8,5.9,4.9,3.1,0.4,2.3,2.5
2,Tyrese Haliburton,IND,10,33.4,21.5,7.8,14.3,0.545,3.8,7.6,0.5,2.1,2.2,0.955,0.5,2.5,3.0,11.1,2.2,0.3,1.2,0.9
3,Luka Doncic,LAL,10,36.5,29.5,9.1,21.5,0.423,3.9,10.4,0.375,7.4,9.5,0.779,1.0,8.2,9.2,8.3,2.2,0.5,4.4,2.1
4,Kawhi Leonard,LAC,10,36.3,23.3,9.0,19.3,0.466,2.3,6.5,0.354,3.0,4.2,0.714,1.6,4.4,6.0,3.1,2.2,0.4,2.1,1.9
5,Paul George,PHL,10,34.1,14.2,5.4,12.1,0.446,2.0,6.2,0.323,1.4,1.8,0.778,0.4,4.5,4.9,3.5,2.1,0.8,2.3,2.3
6,Ausar Thompson,DET,10,24.1,9.9,4.3,7.8,0.551,0.1,0.3,0.333,1.2,1.9,0.632,2.3,2.7,5.0,2.3,2.1,0.9,1.4,2.9
7,Kris Dunn,LAC,10,27.8,6.5,2.8,6.2,0.452,0.7,2.6,0.269,0.2,0.2,1.0,0.5,2.7,3.2,3.8,2.1,0.6,0.8,2.8
8,Dru Smith,MIA,10,24.0,8.3,2.9,5.5,0.527,1.6,2.9,0.552,0.9,1.2,0.75,1.0,1.9,2.9,2.1,2.1,0.2,1.5,2.7
9,Jalen Johnson,ATL,10,32.9,16.7,6.8,13.7,0.496,0.5,2.7,0.185,2.6,3.5,0.743,1.8,7.9,9.7,4.0,2.0,0.6,2.1,1.6
10,Josh Okogie,CHA,10,16.2,7.6,2.5,5.6,0.446,0.9,2.3,0.391,1.7,2.1,0.81,1.1,1.6,2.7,1.0,2.0,0.6,0.9,1.2
