#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
64,Jordan Goodwin,LAL,5,16.0,7.4,2.8,5.6,0.5,1.6,3.0,0.533,0.2,0.4,0.5,1.4,2.4,3.8,0.6,1.4,0.2,1.4,1.2
65,Mitchell Robinson,NYK,5,15.3,4.0,1.6,2.4,0.667,0.0,0.0,0.0,0.8,1.0,0.8,2.6,1.4,4.0,0.4,1.4,0.6,1.0,2.2
66,Jonathan Mogbo,TOR,5,19.7,5.0,2.2,5.0,0.44,0.0,1.2,0.0,0.6,0.8,0.75,1.4,3.0,4.4,0.8,1.4,0.6,1.0,2.0
67,Victor Wembanyama,SAS,5,34.1,21.2,7.8,16.6,0.47,2.0,6.8,0.294,3.6,4.6,0.783,2.2,9.8,12.0,3.4,1.2,3.0,1.8,2.8
68,Jalen Williams,OKC,5,30.4,24.6,8.4,16.2,0.519,2.4,5.2,0.462,5.4,6.2,0.871,0.4,4.8,5.2,6.4,1.2,0.8,1.4,1.6
69,Zion Williamson,NOP,5,29.6,24.6,10.2,17.6,0.58,0.0,0.2,0.0,4.2,5.8,0.724,1.8,4.6,6.4,6.6,1.2,0.8,2.8,2.2
70,Stephen Curry,GOS,5,33.3,29.0,8.4,18.2,0.462,4.8,11.4,0.421,7.4,7.8,0.949,1.0,2.8,3.8,6.0,1.2,0.2,3.2,1.4
71,Alperen Sengun,HOU,5,34.8,20.2,8.4,12.0,0.7,0.4,0.4,1.0,3.0,4.4,0.682,3.2,4.4,7.6,6.4,1.2,0.8,4.2,3.6
72,Derrick White,BOS,5,34.6,20.6,6.8,15.4,0.442,4.2,11.0,0.382,2.8,3.0,0.933,0.6,4.2,4.8,6.0,1.2,1.6,1.4,2.0
73,Tyler Herro,MIA,5,35.3,22.2,9.0,18.0,0.5,2.4,6.4,0.375,1.8,2.4,0.75,0.4,4.8,5.2,5.6,1.2,1.0,2.0,0.6
74,Jalen Duren,DET,5,27.6,13.8,5.4,8.0,0.675,0.0,0.0,0.0,3.0,4.6,0.652,2.6,8.0,10.6,2.0,1.2,1.2,1.6,4.0
75,Karl-Anthony Towns,NYK,5,36.5,20.2,6.6,14.4,0.458,2.0,5.4,0.37,5.0,6.2,0.806,2.8,8.4,11.2,2.0,1.2,0.6,3.0,4.0
76,Kawhi Leonard,LAC,5,38.0,24.0,9.4,20.0,0.47,2.0,6.8,0.294,3.2,4.4,0.727,1.8,4.8,6.6,2.8,1.2,0.6,2.0,2.0
77,Russell Westbrook,DEN,5,31.6,15.6,6.2,12.4,0.5,2.0,4.6,0.435,1.2,1.6,0.75,2.6,3.0,5.6,4.0,1.2,0.8,2.6,2.2
78,Kessler Edwards,DAL,5,29.7,13.4,5.2,8.6,0.605,1.6,2.6,0.615,1.4,1.6,0.875,1.0,3.4,4.4,2.2,1.2,0.6,0.8,2.8
