#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Shai Gilgeous-Alexander,OKC,10,36.1,35.6,11.9,21.8,0.546,2.8,6.4,0.438,9.0,9.9,0.909,1.1,4.3,5.4,6.8,1.3,1.1,2.8,2.5
2,Paolo Banchero,ORL,10,35.9,30.1,10.3,19.8,0.52,2.3,6.0,0.383,7.2,8.9,0.809,1.0,5.9,6.9,4.2,1.4,0.5,2.5,2.1
3,Luka Doncic,LAL,10,36.5,29.5,9.1,21.5,0.423,3.9,10.4,0.375,7.4,9.5,0.779,1.0,8.2,9.2,8.3,2.2,0.5,4.4,2.1
4,Stephen Curry,GOS,10,32.0,28.6,9.0,17.7,0.508,4.8,11.1,0.432,5.8,6.0,0.967,0.6,3.2,3.8,6.4,1.2,0.2,2.9,1.8
5,Ja Morant,MEM,10,34.1,28.6,9.8,21.0,0.467,1.6,6.8,0.235,7.4,8.3,0.892,0.4,3.4,3.8,7.6,1.2,0.0,3.5,3.3
6,Jayson Tatum,BOS,10,37.9,28.4,9.9,21.7,0.456,3.7,10.9,0.339,4.9,5.4,0.907,1.1,8.0,9.1,7.2,0.9,0.4,4.1,2.5
7,LeBron James,LAL,10,36.6,28.3,10.7,20.5,0.522,2.5,7.3,0.342,4.4,5.4,0.815,1.7,8.8,10.5,6.4,1.0,1.1,4.2,1.6
8,Giannis Antetokounmpo,MIL,10,32.0,27.5,10.7,18.8,0.569,0.2,1.0,0.2,5.9,8.6,0.686,2.7,10.3,13.0,6.6,0.9,0.7,2.3,2.0
9,Cade Cunningham,DET,10,34.3,26.9,9.1,19.5,0.467,1.5,5.2,0.288,7.2,8.0,0.9,0.4,4.6,5.0,8.1,1.5,0.6,5.3,3.8
10,Nikola Jokic,DEN,10,39.0,26.7,10.5,17.9,0.587,1.1,4.0,0.275,4.6,6.4,0.719,2.1,11.5,13.6,10.7,1.7,0.8,3.9,3.0
11,Jalen Brunson,NYK,10,36.3,26.6,9.7,19.8,0.49,2.1,6.6,0.318,5.1,5.9,0.864,0.3,3.3,3.6,7.1,1.0,0.2,3.0,2.2
