#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Walker Kessler,UTA,10,31.2,13.0,5.7,7.3,0.781,0.0,0.0,0.0,1.6,3.1,0.516,5.3,8.8,14.1,2.0,0.8,2.9,1.6,1.8
2,Nikola Jokic,DEN,10,39.0,26.7,10.5,17.9,0.587,1.1,4.0,0.275,4.6,6.4,0.719,2.1,11.5,13.6,10.7,1.7,0.8,3.9,3.0
3,Domantas Sabonis,SAC,10,30.6,13.7,5.5,10.3,0.534,0.4,2.0,0.2,2.3,3.5,0.657,3.4,9.8,13.2,5.7,0.8,0.3,2.8,2.9
4,Giannis Antetokounmpo,MIL,10,32.0,27.5,10.7,18.8,0.569,0.2,1.0,0.2,5.9,8.6,0.686,2.7,10.3,13.0,6.6,0.9,0.7,2.3,2.0
5,Anthony Davis,DAL,10,31.8,25.0,10.0,18.3,0.546,0.6,2.2,0.273,4.4,5.6,0.786,3.6,8.8,12.4,3.2,1.1,2.2,1.8,1.6
6,Victor Wembanyama,SAS,10,33.5,23.6,8.6,17.6,0.489,2.6,7.5,0.347,3.8,4.7,0.809,1.8,10.1,11.9,3.5,1.3,3.2,2.5,2.6
7,Rudy Gobert,MIN,10,32.8,14.4,5.8,8.5,0.682,0.0,0.0,0.0,2.8,4.1,0.683,4.9,6.8,11.7,2.0,1.1,1.3,1.3,2.4
8,Ivica Zubac,LAC,10,36.3,20.7,9.5,14.0,0.679,0.0,0.0,0.0,1.7,2.8,0.607,3.0,8.6,11.6,2.5,0.3,1.0,1.2,3.2
9,Jalen Duren,DET,10,27.1,13.8,5.4,7.8,0.692,0.0,0.0,0.0,3.0,4.3,0.698,3.1,8.5,11.6,1.8,1.1,1.4,1.5,3.6
10,Karl-Anthony Towns,NYK,10,37.3,23.5,8.4,17.3,0.486,2.4,5.9,0.407,4.3,5.5,0.782,2.5,9.1,11.6,2.1,1.1,0.5,3.1,3.6
