#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Luka Doncic,LAL,5,38.2,32.6,10.2,23.4,0.436,5.0,11.6,0.431,7.2,9.4,0.766,0.8,8.4,9.2,9.0,2.0,0.4,5.2,2.0
2,Stephen Curry,GOS,5,33.3,27.0,8.0,17.2,0.465,4.6,10.8,0.426,6.4,6.4,1.0,0.8,2.8,3.6,5.0,1.2,0.2,3.4,1.6
3,Jayson Tatum,BOS,5,38.7,30.4,10.0,22.0,0.455,4.2,11.8,0.356,6.2,6.8,0.912,0.8,7.6,8.4,6.0,1.2,0.2,4.4,2.8
4,James Harden,LAC,5,38.9,26.0,7.4,17.6,0.42,3.8,10.0,0.38,7.4,9.0,0.822,0.8,5.6,6.4,10.6,1.2,0.8,4.8,1.4
5,Anthony Edwards,MIN,5,36.2,24.8,8.4,17.2,0.488,3.8,9.2,0.413,4.2,5.6,0.75,0.4,5.0,5.4,5.2,0.8,0.4,2.2,1.4
6,LaMelo Ball,CHA,5,31.0,21.6,7.0,19.2,0.365,3.8,11.2,0.339,3.8,3.8,1.0,1.4,3.0,4.4,9.4,1.0,0.2,3.2,3.4
7,Jordan Poole,WAS,5,26.9,21.2,7.0,15.4,0.455,3.8,9.4,0.404,3.4,3.6,0.944,0.8,3.4,4.2,3.2,1.6,0.4,2.0,2.6
8,Brandon Miller,CHA,5,33.4,18.8,6.6,17.0,0.388,3.8,10.4,0.365,1.8,2.6,0.692,0.8,2.6,3.4,4.4,1.0,0.6,2.4,2.8
9,Miles Bridges,CHA,5,35.4,31.8,10.8,20.8,0.519,3.6,8.4,0.429,6.6,7.6,0.868,1.0,7.6,8.6,5.0,1.0,1.6,1.8,1.6
10,Brice Sensabaugh,UTA,5,23.2,14.2,5.2,9.6,0.542,3.6,5.8,0.621,0.2,0.2,1.0,0.4,3.0,3.4,2.0,1.0,0.2,1.2,1.2
11,Kevin Durant,PHX,5,39.6,25.2,8.8,16.4,0.537,3.4,5.4,0.63,4.2,4.6,0.913,0.8,6.0,6.8,4.8,0.4,1.0,4.2,1.0
12,Luguentz Dort,OKC,5,33.2,11.8,4.2,10.2,0.412,3.4,8.2,0.415,0.0,0.4,0.0,1.2,3.0,4.2,1.6,1.4,0.4,0.6,2.2
13,Coby White,CHI,5,35.8,30.0,10.8,22.2,0.486,3.2,9.8,0.327,5.2,5.8,0.897,0.4,4.8,5.2,3.8,1.0,0.2,2.2,2.0
14,Jaden Ivey,DET,5,27.9,19.2,7.4,12.4,0.597,3.2,5.2,0.615,1.2,1.6,0.75,1.6,2.6,4.2,3.0,0.8,0.2,2.8,1.2
15,Zach LaVine,SAC,5,37.4,23.6,8.6,14.6,0.589,3.2,6.4,0.5,3.2,3.4,0.941,0.2,3.6,3.8,2.6,0.4,0.2,3.2,1.8
16,OG Anunoby,NYK,5,40.7,21.4,7.4,17.4,0.425,3.2,8.6,0.372,3.4,4.6,0.739,2.2,3.6,5.8,3.2,1.6,0.6,2.2,2.8
17,Anfernee Simons,POR,5,36.0,23.2,9.0,19.0,0.474,3.2,9.4,0.34,2.0,2.0,1.0,0.2,2.6,2.8,3.6,1.0,0.0,1.6,1.2
18,Duncan Robinson,MIA,5,25.6,12.4,4.0,9.6,0.417,3.2,7.8,0.41,1.2,1.4,0.857,0.2,1.6,1.8,1.2,0.8,0.0,1.0,1.6
19,Shai Gilgeous-Alexander,OKC,5,36.1,38.2,13.2,24.2,0.545,3.0,7.8,0.385,8.8,9.0,0.978,1.2,3.4,4.6,6.8,1.0,1.2,3.0,2.8
20,Quentin Grimes,PHL,5,33.7,25.0,9.0,18.0,0.5,3.0,8.0,0.375,4.0,4.4,0.909,0.8,3.8,4.6,4.2,2.4,0.8,3.6,2.2
21,Immanuel Quickley,TOR,5,28.3,21.6,6.6,14.6,0.452,3.0,8.2,0.366,5.4,6.2,0.871,1.0,3.4,4.4,4.8,0.8,0.0,1.6,1.6
22,Derrick White,BOS,5,34.1,16.0,5.4,13.8,0.391,3.0,9.8,0.306,2.2,2.6,0.846,0.8,4.4,5.2,6.4,1.0,1.4,1.6,2.0
23,Donte DiVincenzo,MIN,5,29.0,14.4,5.4,10.2,0.529,3.0,6.6,0.455,0.6,1.2,0.5,0.6,3.8,4.4,3.8,0.6,0.8,1.0,2.2
24,Tyus Jones,PHX,5,22.1,10.2,3.4,7.0,0.486,3.0,4.6,0.652,0.4,0.4,1.0,0.2,2.2,2.4,4.8,0.4,0.0,0.2,0.4
25,Dillon Brooks,HOU,5,32.2,17.8,7.0,14.2,0.493,3.0,6.4,0.469,0.8,1.4,0.571,0.6,2.4,3.0,2.4,0.4,0.0,0.8,2.4
26,Nicolas Batum,LAC,5,29.2,10.2,3.6,7.0,0.514,3.0,5.8,0.517,0.0,0.0,0.0,1.0,2.8,3.8,1.0,1.0,1.2,1.0,1.2
27,A.J. Lawson,TOR,5,30.2,18.2,5.8,15.0,0.387,3.0,8.8,0.341,3.6,5.4,0.667,1.8,4.0,5.8,1.4,0.6,0.0,1.0,3.2
28,Daeqwon Plowden,ATL,2,16.4,12.0,4.0,5.0,0.8,3.0,4.0,0.75,1.0,1.0,1.0,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5
29,Tyrese Haliburton,IND,5,33.2,18.4,6.8,13.6,0.5,2.8,6.0,0.467,2.0,2.2,0.909,0.8,2.8,3.6,11.4,2.2,0.0,1.2,0.6
30,Damian Lillard,MIL,5,33.8,23.8,7.6,16.0,0.475,2.8,7.8,0.359,5.8,6.2,0.935,0.2,4.6,4.8,6.8,1.4,0.0,2.2,1.4
31,Devin Booker,PHX,5,39.2,25.0,8.8,18.6,0.473,2.8,7.8,0.359,4.6,5.2,0.885,0.8,4.2,5.0,7.2,1.0,0.0,3.0,2.8
32,Jalen Green,HOU,5,32.4,18.0,6.2,15.6,0.397,2.8,7.4,0.378,2.8,3.2,0.875,0.4,6.0,6.4,5.6,1.2,0.6,2.0,0.6
33,Austin Reaves,LAL,5,36.3,21.2,6.6,16.4,0.402,2.8,7.2,0.389,5.2,5.6,0.929,1.0,5.6,6.6,5.6,1.0,0.2,2.6,2.4
34,Cam Thomas,BRK,5,29.1,22.8,8.2,20.0,0.41,2.8,9.4,0.298,3.6,4.0,0.9,0.6,2.0,2.6,5.8,0.2,0.2,1.6,1.2
35,Buddy Hield,GOS,5,21.9,11.8,4.4,9.6,0.458,2.8,7.0,0.4,0.2,0.6,0.333,0.8,2.6,3.4,3.0,0.8,0.6,1.6,0.6
36,Jerami Grant,POR,5,32.7,14.4,4.2,12.2,0.344,2.8,8.0,0.35,3.2,3.6,0.889,0.6,4.6,5.2,1.8,1.4,0.4,1.6,1.4
37,Dalton Knecht,LAL,5,28.8,16.2,6.6,13.2,0.5,2.8,7.2,0.389,0.2,0.8,0.25,0.6,3.4,4.0,1.4,0.0,0.2,0.6,2.0
38,C.J. McCollum,NOP,5,28.5,14.4,5.2,13.0,0.4,2.8,6.2,0.452,1.2,1.4,0.857,0.6,2.4,3.0,4.0,1.0,0.0,1.6,1.8
39,Tyrese Martin,BRK,5,22.6,12.4,4.8,10.4,0.462,2.8,5.8,0.483,0.0,0.0,0.0,0.8,2.4,3.2,2.0,0.4,0.4,0.6,1.6
40,Malik Beasley,DET,5,27.5,12.6,4.4,10.4,0.423,2.8,6.8,0.412,1.0,2.0,0.5,0.4,1.6,2.0,1.0,1.4,0.2,1.4,2.0
41,"Gary Trent, Jr.",MIL,5,23.6,13.0,4.6,11.2,0.411,2.8,7.4,0.378,1.0,1.0,1.0,0.8,0.6,1.4,1.0,0.8,0.0,0.6,1.8
42,Cameron Johnson,BRK,5,32.4,18.8,6.8,12.4,0.548,2.6,5.4,0.481,2.6,3.6,0.722,1.6,3.8,5.4,3.8,2.0,0.4,1.4,2.8
43,Darius Garland,CLE,5,31.6,19.6,6.2,15.2,0.408,2.6,9.0,0.289,4.6,4.6,1.0,0.4,2.6,3.0,6.8,2.0,0.0,2.6,1.8
44,Devin Vassell,SAS,5,33.3,17.0,6.6,14.6,0.452,2.6,7.2,0.361,1.2,1.2,1.0,0.6,4.0,4.6,3.4,1.8,1.0,0.8,2.6
