#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Dyson Daniels,ATL,61,34.0,14.1,5.9,12.2,0.483,1.1,3.1,0.349,1.1,1.9,0.598,1.6,4.0,5.6,4.1,3.0,0.7,1.9,2.5
2,Kris Dunn,LAC,59,24.1,6.2,2.6,5.9,0.433,0.9,2.9,0.305,0.2,0.3,0.563,0.8,2.7,3.5,3.1,1.8,0.4,1.1,2.6
3,Shai Gilgeous-Alexander,OKC,64,34.3,32.8,11.3,21.5,0.525,2.2,5.8,0.371,8.0,8.9,0.9,0.9,4.2,5.1,6.2,1.8,1.0,2.6,2.3
4,Nikola Jokic,DEN,60,36.4,29.0,11.1,19.3,0.577,1.9,4.5,0.428,4.8,6.0,0.808,2.9,10.0,12.9,10.4,1.8,0.7,3.3,2.3
5,Tyrese Maxey,PHL,52,37.7,26.3,9.2,21.0,0.437,3.1,9.2,0.337,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2
6,Cason Wallace,OKC,57,27.3,7.9,3.2,7.0,0.46,1.1,3.1,0.343,0.4,0.5,0.833,1.0,2.4,3.4,2.5,1.7,0.5,0.8,2.2
7,Fred VanVleet,HOU,47,35.3,14.3,4.9,12.9,0.384,2.6,7.7,0.34,1.8,2.2,0.824,0.6,3.2,3.9,5.7,1.7,0.4,1.5,2.4
8,Jalen Williams,OKC,61,32.6,21.3,8.1,16.9,0.478,1.8,5.0,0.362,3.3,4.2,0.791,0.9,4.6,5.5,5.3,1.7,0.7,2.2,2.4
9,Jalen Johnson,ATL,36,35.7,18.9,7.5,15.1,0.5,1.2,3.9,0.312,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9
10,"Kelly Oubre, Jr.",PHL,60,34.6,15.1,5.8,12.4,0.47,1.2,4.0,0.293,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0
11,James Harden,LAC,63,35.1,22.3,6.5,16.5,0.392,3.0,8.7,0.341,6.4,7.3,0.87,0.7,5.1,5.8,8.7,1.5,0.6,4.5,2.0
12,Scottie Barnes,TOR,51,34.1,19.6,7.4,16.7,0.442,1.2,4.6,0.263,3.6,4.7,0.778,1.7,6.2,7.9,6.0,1.5,1.1,2.9,1.9
13,Toumani Camara,POR,65,32.7,10.6,3.9,8.7,0.453,1.5,4.2,0.364,1.2,1.6,0.745,2.3,3.6,5.9,2.2,1.5,0.6,1.5,3.1
14,De'Aaron Fox,SAS,62,36.1,23.5,8.7,18.8,0.463,1.9,6.1,0.31,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6
15,Tyrese Haliburton,IND,60,34.0,18.5,6.5,13.8,0.467,3.0,7.8,0.389,2.5,2.9,0.863,0.6,2.9,3.5,8.9,1.5,0.6,1.7,1.3
16,Jalen Suggs,ORL,35,28.6,16.2,5.6,13.7,0.41,2.2,6.9,0.314,2.8,3.1,0.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8
17,Keon Ellis,SAC,62,23.1,8.1,2.8,5.8,0.478,1.7,3.9,0.43,0.9,1.0,0.859,0.8,1.8,2.6,1.3,1.5,0.8,0.8,2.0
18,Jaden McDaniels,MIN,67,32.5,12.6,5.0,10.4,0.479,1.3,3.9,0.335,1.3,1.6,0.833,1.7,4.3,5.9,2.0,1.4,0.8,1.1,2.9
19,Josh Hart,NYK,62,37.9,14.5,5.5,10.3,0.539,1.1,3.3,0.337,2.3,2.9,0.792,2.2,7.6,9.8,5.6,1.4,0.4,2.1,2.6
20,Jordan Poole,WAS,54,31.0,21.1,6.9,16.3,0.423,3.5,9.4,0.374,3.8,4.3,0.88,0.5,2.8,3.3,4.7,1.4,0.5,3.2,3.1
21,Jamal Murray,DEN,59,36.3,21.4,7.9,16.7,0.472,2.3,5.9,0.394,3.3,3.7,0.886,0.6,3.1,3.8,6.1,1.4,0.5,2.1,1.9
22,OG Anunoby,NYK,59,36.7,16.6,6.2,13.2,0.468,2.2,6.1,0.365,2.1,2.6,0.794,1.4,3.4,4.8,2.2,1.4,0.9,1.4,2.3
23,Russell Westbrook,DEN,59,27.8,12.9,4.9,10.6,0.465,1.2,3.7,0.336,1.9,2.9,0.64,1.5,3.5,5.0,6.0,1.4,0.5,3.0,2.5
24,Andrew Nembhard,IND,48,28.8,10.3,3.9,8.2,0.471,0.8,2.5,0.311,1.8,2.2,0.794,0.5,2.6,3.2,5.1,1.4,0.2,1.8,2.4
25,Draymond Green,GOS,51,28.8,8.9,3.1,7.3,0.427,1.1,3.3,0.331,1.6,2.4,0.678,1.1,5.0,6.2,5.9,1.4,1.0,2.4,3.1
26,Franz Wagner,ORL,47,32.9,24.0,8.9,19.1,0.464,1.7,5.8,0.303,4.5,5.3,0.852,1.0,4.5,5.4,4.6,1.3,0.4,2.2,2.6
27,Kentavious Caldwell-Pope,ORL,63,30.2,8.6,3.1,7.2,0.424,1.3,4.3,0.311,1.1,1.3,0.866,0.4,1.7,2.1,1.7,1.3,0.5,0.8,2.0
28,Chris Paul,SAS,64,28.5,8.9,3.0,7.1,0.419,1.8,4.7,0.375,1.2,1.3,0.939,0.4,3.2,3.6,7.9,1.3,0.2,1.5,1.8
29,Bilal Coulibaly,WAS,59,33.0,12.3,4.5,10.6,0.421,1.1,3.8,0.281,2.3,3.1,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4
30,Kyrie Irving,DAL,50,36.1,24.7,8.9,18.9,0.473,2.9,7.2,0.401,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0
