#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
170,De'Aaron Fox,SAS,5,32.6,19.8,7.8,15.8,0.494,1.6,5.2,0.308,2.6,3.0,0.867,0.6,3.8,4.4,7.4,0.4,0.0,2.0,2.2
171,Christian Braun,DEN,5,34.6,17.2,6.4,11.4,0.561,2.2,4.0,0.55,2.2,3.0,0.733,1.0,3.4,4.4,3.6,0.4,0.4,0.8,2.2
172,Donte DiVincenzo,MIN,5,29.0,14.4,5.4,10.2,0.529,3.0,6.6,0.455,0.6,1.2,0.5,0.6,3.8,4.4,3.8,0.6,0.8,1.0,2.2
173,Moses Moody,GOS,5,30.2,13.6,4.4,8.6,0.512,2.2,5.0,0.44,2.6,2.8,0.929,1.4,3.0,4.4,2.6,1.4,0.2,0.8,1.6
174,Aaron Gordon,DEN,5,26.7,16.6,5.8,10.8,0.537,2.6,5.0,0.52,2.4,2.8,0.857,1.4,3.0,4.4,1.8,0.6,0.4,1.0,1.8
175,Keyonte George,UTA,5,29.8,17.6,5.2,14.6,0.356,2.4,7.6,0.316,4.8,6.2,0.774,0.4,4.0,4.4,5.8,0.8,0.0,2.2,1.2
176,Khris Middleton,WAS,5,24.4,13.2,4.8,10.4,0.462,0.8,3.4,0.235,2.8,3.2,0.875,1.0,3.4,4.4,3.8,1.8,0.2,1.4,1.6
177,Kevin Huerter,CHI,5,30.0,14.0,4.8,12.6,0.381,2.6,8.4,0.31,1.8,2.2,0.818,0.6,3.8,4.4,1.8,1.6,0.4,1.6,1.8
178,Gradey Dick,TOR,5,27.5,9.2,3.2,8.6,0.372,2.0,5.0,0.4,0.8,1.6,0.5,0.6,3.8,4.4,1.8,0.6,0.0,1.2,1.6
179,Jonathan Mogbo,TOR,5,19.7,5.0,2.2,5.0,0.44,0.0,1.2,0.0,0.6,0.8,0.75,1.4,3.0,4.4,0.8,1.4,0.6,1.0,2.0
180,Jaylen Wells,MEM,5,23.6,5.2,2.0,7.4,0.27,1.0,4.8,0.208,0.2,0.6,0.333,1.6,2.8,4.4,1.4,0.4,0.4,1.2,1.8
181,Ja Morant,MEM,5,34.5,32.8,11.6,20.8,0.558,2.0,6.0,0.333,7.6,9.4,0.809,0.6,3.6,4.2,8.0,1.4,0.0,2.6,2.4
182,Jalen Brunson,NYK,5,38.7,30.4,10.6,21.8,0.486,2.0,7.2,0.278,7.2,8.2,0.878,0.4,3.8,4.2,7.2,1.4,0.2,3.0,2.0
183,Jordan Poole,WAS,5,26.9,21.2,7.0,15.4,0.455,3.8,9.4,0.404,3.4,3.6,0.944,0.8,3.4,4.2,3.2,1.6,0.4,2.0,2.6
184,Jaden Ivey,DET,5,27.9,19.2,7.4,12.4,0.597,3.2,5.2,0.615,1.2,1.6,0.75,1.6,2.6,4.2,3.0,0.8,0.2,2.8,1.2
185,Ben Simmons,LAC,5,19.2,4.8,2.2,4.6,0.478,0.0,0.0,0.0,0.4,0.6,0.667,1.2,3.0,4.2,4.6,1.2,0.4,0.4,2.0
186,Luguentz Dort,OKC,5,33.2,11.8,4.2,10.2,0.412,3.4,8.2,0.415,0.0,0.4,0.0,1.2,3.0,4.2,1.6,1.4,0.4,0.6,2.2
187,Bismack Biyombo,SAS,5,18.4,4.4,2.0,2.4,0.833,0.0,0.0,0.0,0.4,1.2,0.333,1.6,2.6,4.2,1.2,1.2,0.8,1.0,1.4
188,Alex Reese,PHL,5,15.9,4.2,1.6,4.0,0.4,0.4,2.6,0.154,0.6,1.0,0.6,1.0,3.2,4.2,0.2,1.2,1.6,0.8,1.8
189,Daniel Theis,NOP,5,19.2,2.0,0.8,2.6,0.308,0.0,0.6,0.0,0.4,0.4,1.0,1.4,2.8,4.2,2.6,0.6,0.4,0.8,2.6
190,DeAndre Jordan,DEN,5,8.5,1.6,0.6,1.2,0.5,0.0,0.0,0.0,0.4,1.2,0.333,1.6,2.6,4.2,0.2,0.2,0.2,0.8,0.6
191,Trae Young,ATL,5,34.9,27.6,8.0,20.6,0.388,1.4,6.8,0.206,10.2,10.6,0.962,1.0,3.0,4.0,11.2,0.4,0.0,4.8,1.4
192,"Jaren Jackson, Jr.",MEM,5,26.1,20.2,7.2,12.8,0.563,2.4,4.2,0.571,3.4,4.2,0.81,0.6,3.4,4.0,0.8,1.4,1.6,1.0,3.2
193,Brandon Ingram,NOP,5,32.4,20.2,7.0,15.4,0.455,2.2,4.8,0.458,4.0,5.0,0.8,0.6,3.4,4.0,5.0,1.2,0.8,4.6,2.4
194,Josh Okogie,CHA,5,23.4,11.8,3.8,8.4,0.452,1.2,3.6,0.333,3.0,3.8,0.789,1.6,2.4,4.0,1.8,2.8,0.8,1.6,1.8
195,"Kevin Porter, Jr.",MIL,5,18.5,11.0,3.4,7.0,0.486,1.6,3.2,0.5,2.6,3.0,0.867,0.2,3.8,4.0,4.6,0.8,0.4,2.2,2.2
196,Cole Anthony,ORL,5,27.0,13.8,4.8,11.0,0.436,1.8,4.2,0.429,2.4,2.4,1.0,1.0,3.0,4.0,4.0,0.6,1.6,2.2,3.6
197,Royce O'Neale,PHX,5,25.1,6.4,2.2,4.8,0.458,2.0,4.6,0.435,0.0,0.0,0.0,0.4,3.6,4.0,3.8,1.8,0.2,0.8,1.8
198,Jrue Holiday,BOS,5,33.5,11.0,4.6,10.0,0.46,1.8,5.6,0.321,0.0,0.0,0.0,1.8,2.2,4.0,3.2,1.2,0.6,1.4,1.8
199,Dalton Knecht,LAL,5,28.8,16.2,6.6,13.2,0.5,2.8,7.2,0.389,0.2,0.8,0.25,0.6,3.4,4.0,1.4,0.0,0.2,0.6,2.0
200,Aaron Wiggins,OKC,5,24.5,11.6,4.8,11.4,0.421,1.4,4.6,0.304,0.6,0.8,0.75,0.8,3.2,4.0,1.8,1.0,0.2,0.6,0.4
