#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
66,Shai Gilgeous-Alexander,OKC,64,34.3,32.8,11.3,21.5,0.525,2.2,5.8,0.371,8.0,8.9,0.9,0.9,4.2,5.1,6.2,1.8,1.0,2.6,2.3
67,Myles Turner,IND,58,30.7,15.5,5.5,11.5,0.476,2.2,5.4,0.399,2.4,3.1,0.775,1.2,5.3,6.5,1.6,0.8,1.8,1.7,2.6
68,Andrew Wiggins,MIA,53,31.0,17.9,6.2,14.1,0.44,2.2,5.9,0.367,3.4,4.4,0.771,1.5,3.1,4.6,2.5,1.0,0.8,1.6,1.7
69,A.J. Green,MIL,58,22.8,7.5,2.5,5.9,0.427,2.1,5.1,0.42,0.3,0.4,0.905,0.2,2.0,2.3,1.4,0.6,0.1,0.5,2.2
70,Malik Monk,SAC,55,32.6,17.5,6.5,14.9,0.437,2.1,6.8,0.314,2.4,2.8,0.863,0.5,3.4,3.9,5.8,1.0,0.6,2.4,2.6
71,Sam Hauser,BOS,57,20.6,7.7,2.7,6.2,0.439,2.1,5.3,0.401,0.1,0.1,1.0,0.7,2.4,3.1,0.9,0.6,0.2,0.4,1.2
72,Gradey Dick,TOR,54,29.4,14.4,4.9,12.0,0.41,2.1,6.0,0.35,2.5,2.9,0.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2
73,Mikal Bridges,NYK,65,37.9,17.5,7.2,14.6,0.495,2.1,6.0,0.35,0.9,1.2,0.763,0.9,2.3,3.2,3.5,0.9,0.6,1.5,1.5
74,Jaden Ivey,DET,30,29.9,17.6,6.3,13.8,0.46,2.1,5.1,0.409,2.8,3.9,0.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2
75,Tim Hardaway Jr.,DET,63,28.2,10.4,3.4,8.6,0.401,2.1,5.8,0.359,1.5,1.8,0.826,0.3,2.2,2.5,1.7,0.5,0.1,0.7,1.3
76,Tyus Jones,PHX,66,28.1,10.4,3.8,8.5,0.448,2.1,4.9,0.424,0.7,0.8,0.889,0.5,2.0,2.4,5.7,0.8,0.1,1.3,0.9
77,Julian Champagnie,SAS,65,23.1,9.6,3.3,7.9,0.417,2.1,5.7,0.36,0.9,1.0,0.908,0.8,3.0,3.8,1.3,0.8,0.4,0.9,1.3
78,Karl-Anthony Towns,NYK,58,35.1,24.2,8.7,16.6,0.524,2.1,4.9,0.422,4.7,5.7,0.833,3.0,10.1,13.2,3.1,1.0,0.7,2.6,3.5
79,Jose Alvarado,NOP,43,23.7,9.8,3.4,8.4,0.408,2.0,5.3,0.385,0.9,1.1,0.816,0.5,1.9,2.4,4.6,1.4,0.3,1.1,1.7
80,Corey Kispert,WAS,60,26.4,11.7,4.2,9.3,0.452,2.0,5.5,0.366,1.3,1.5,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.1,1.6
81,Noah Clowney,BRK,40,22.8,9.5,3.0,8.1,0.376,2.0,5.7,0.351,1.5,1.7,0.841,1.0,2.9,3.9,0.8,0.5,0.5,1.0,2.2
82,Svi Mykhailiuk,UTA,27,19.9,9.4,3.3,8.6,0.388,2.0,5.9,0.34,0.7,0.9,0.792,0.6,1.9,2.4,1.9,0.6,0.2,1.5,1.2
83,Shaedon Sharpe,POR,59,30.5,17.5,6.5,14.6,0.449,2.0,6.2,0.318,2.4,3.1,0.8,0.9,3.2,4.1,2.6,0.7,0.2,2.0,1.7
84,Luke Kennard,MEM,52,22.4,9.5,3.3,6.9,0.482,2.0,4.3,0.455,0.9,1.0,0.885,0.6,2.2,2.8,3.3,0.7,0.1,1.1,0.9
