#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Tyrese Haliburton,IND,5,33.2,18.4,6.8,13.6,0.5,2.8,6.0,0.467,2.0,2.2,0.909,0.8,2.8,3.6,11.4,2.2,0.0,1.2,0.6
2,Trae Young,ATL,5,34.9,27.6,8.0,20.6,0.388,1.4,6.8,0.206,10.2,10.6,0.962,1.0,3.0,4.0,11.2,0.4,0.0,4.8,1.4
3,James Harden,LAC,5,38.9,26.0,7.4,17.6,0.42,3.8,10.0,0.38,7.4,9.0,0.822,0.8,5.6,6.4,10.6,1.2,0.8,4.8,1.4
4,Nikola Jokic,DEN,5,40.4,30.4,11.8,20.8,0.567,1.6,5.8,0.276,5.2,7.8,0.667,2.4,11.0,13.4,9.6,1.8,1.0,2.8,3.6
5,LaMelo Ball,CHA,5,31.0,21.6,7.0,19.2,0.365,3.8,11.2,0.339,3.8,3.8,1.0,1.4,3.0,4.4,9.4,1.0,0.2,3.2,3.4
6,Luka Doncic,LAL,5,38.2,32.6,10.2,23.4,0.436,5.0,11.6,0.431,7.2,9.4,0.766,0.8,8.4,9.2,9.0,2.0,0.4,5.2,2.0
7,Josh Giddey,CHI,5,35.6,22.2,7.6,15.8,0.481,1.4,4.4,0.318,5.6,6.8,0.824,1.4,8.6,10.0,8.8,0.6,0.6,2.4,2.0
8,Ja Morant,MEM,5,34.5,32.8,11.6,20.8,0.558,2.0,6.0,0.333,7.6,9.4,0.809,0.6,3.6,4.2,8.0,1.4,0.0,2.6,2.4
9,Cade Cunningham,DET,5,36.5,32.2,10.8,21.4,0.505,1.4,5.2,0.269,9.2,10.2,0.902,0.4,4.8,5.2,8.0,1.2,0.8,5.8,4.0
10,De'Aaron Fox,SAS,5,32.6,19.8,7.8,15.8,0.494,1.6,5.2,0.308,2.6,3.0,0.867,0.6,3.8,4.4,7.4,0.4,0.0,2.0,2.2
11,Jalen Brunson,NYK,5,38.7,30.4,10.6,21.8,0.486,2.0,7.2,0.278,7.2,8.2,0.878,0.4,3.8,4.2,7.2,1.4,0.2,3.0,2.0
12,Julius Randle,MIN,5,31.1,19.8,6.6,13.2,0.5,1.6,4.4,0.364,5.0,6.0,0.833,2.8,4.8,7.6,7.2,0.4,0.2,2.8,2.6
13,Devin Booker,PHX,5,39.2,25.0,8.8,18.6,0.473,2.8,7.8,0.359,4.6,5.2,0.885,0.8,4.2,5.0,7.2,1.0,0.0,3.0,2.8
14,Draymond Green,GOS,5,31.4,10.8,3.2,6.6,0.485,1.4,3.0,0.467,3.0,3.8,0.789,1.0,5.6,6.6,7.2,2.0,0.4,3.0,3.4
15,LeBron James,LAL,5,36.9,26.4,10.0,20.4,0.49,2.0,7.4,0.27,4.4,5.4,0.815,1.2,9.2,10.4,7.0,0.8,0.8,3.6,1.8
16,Andrew Nembhard,IND,5,28.9,10.2,3.6,8.6,0.419,1.2,4.4,0.273,1.8,2.0,0.9,0.6,2.0,2.6,7.0,1.4,0.0,1.2,2.6
17,Shai Gilgeous-Alexander,OKC,5,36.1,38.2,13.2,24.2,0.545,3.0,7.8,0.385,8.8,9.0,0.978,1.2,3.4,4.6,6.8,1.0,1.2,3.0,2.8
18,Damian Lillard,MIL,5,33.8,23.8,7.6,16.0,0.475,2.8,7.8,0.359,5.8,6.2,0.935,0.2,4.6,4.8,6.8,1.4,0.0,2.2,1.4
19,Darius Garland,CLE,5,31.6,19.6,6.2,15.2,0.408,2.6,9.0,0.289,4.6,4.6,1.0,0.4,2.6,3.0,6.8,2.0,0.0,2.6,1.8
20,Chris Paul,SAS,5,23.8,6.8,2.4,5.2,0.462,1.8,3.4,0.529,0.2,0.2,1.0,0.0,2.0,2.0,6.8,1.0,0.2,1.6,1.2
21,Isaiah Collier,UTA,5,30.4,10.8,3.6,7.6,0.474,0.4,1.2,0.333,3.2,4.4,0.727,0.4,3.2,3.6,6.8,0.8,0.0,3.8,2.2
22,Domantas Sabonis,SAC,5,24.8,9.2,3.6,8.0,0.45,0.2,2.2,0.091,1.8,2.4,0.75,1.2,7.6,8.8,6.6,1.0,0.4,2.6,1.6
23,Jalen Williams,OKC,5,30.4,24.6,8.4,16.2,0.519,2.4,5.2,0.462,5.4,6.2,0.871,0.4,4.8,5.2,6.4,1.2,0.8,1.4,1.6
24,Jimmy Butler III,GOS,5,33.9,18.2,5.6,11.4,0.491,0.6,1.6,0.375,6.4,7.2,0.889,1.6,4.4,6.0,6.4,1.4,0.0,1.8,0.4
