#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
72,Deni Avdija,POR,61,29.0,15.3,5.0,10.8,0.466,1.5,4.3,0.347,3.7,4.9,0.768,1.3,5.4,6.7,3.6,0.9,0.5,2.6,2.4
73,Christian Braun,DEN,65,33.4,15.2,5.9,10.4,0.565,1.1,2.8,0.383,2.3,2.8,0.824,1.2,3.8,5.1,2.3,1.1,0.5,0.9,2.2
74,"Kelly Oubre, Jr.",PHL,60,34.6,15.1,5.8,12.4,0.47,1.2,4.0,0.293,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0
75,Naz Reid,MIN,66,28.0,14.8,5.5,11.8,0.465,2.3,5.9,0.392,1.5,1.9,0.792,1.1,5.0,6.1,2.2,0.7,1.0,1.3,2.5
76,Kyle Kuzma,MIL,48,29.6,14.7,5.7,13.4,0.423,1.4,4.7,0.288,2.0,3.3,0.628,0.8,5.4,6.2,2.3,0.5,0.2,2.3,1.7
77,Klay Thompson,DAL,59,27.6,14.5,5.2,12.4,0.417,3.2,7.9,0.4,0.9,1.1,0.903,0.7,2.8,3.5,2.1,0.8,0.5,1.3,1.2
78,Josh Hart,NYK,62,37.9,14.5,5.5,10.3,0.539,1.1,3.3,0.337,2.3,2.9,0.792,2.2,7.6,9.8,5.6,1.4,0.4,2.1,2.6
79,Deandre Ayton,POR,40,30.1,14.4,6.6,11.7,0.566,0.2,0.8,0.188,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2
80,Gradey Dick,TOR,54,29.4,14.4,4.9,12.0,0.41,2.1,6.0,0.35,2.5,2.9,0.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2
81,Fred VanVleet,HOU,47,35.3,14.3,4.9,12.9,0.384,2.6,7.7,0.34,1.8,2.2,0.824,0.6,3.2,3.9,5.7,1.7,0.4,1.5,2.4
82,Jakob Poeltl,TOR,51,29.9,14.1,6.2,10.0,0.614,0.0,0.0,0.0,1.8,2.6,0.681,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.2
83,Dyson Daniels,ATL,61,34.0,14.1,5.9,12.2,0.483,1.1,3.1,0.349,1.1,1.9,0.598,1.6,4.0,5.6,4.1,3.0,0.7,1.9,2.5
